module,family,selected_units,winner,svd_relative_error,swd_relative_error,svd_mean_active_edges,swd_mean_active_edges,swd_best_sparsity,swd_error_over_svd,svd_edges_over_swd
h.0.attn.o_proj,attention,16,svd_omp,0.39098459482192993,0.5767204761505127,24576,5526.861328125,0.82,1.4750465460491464,4.4466467568017425
h.0.attn.o_proj,attention,24,svd_omp,0.3567609488964081,0.524878978729248,36864,8069.62646484375,0.82,1.4712343947758029,4.568241189428313
h.0.attn.o_proj,attention,32,svd_omp,0.3302977979183197,0.49532487988471985,49152,10567.833984375,0.82,1.499631190418079,4.651095018399547
h.0.attn.o_proj,attention,48,svd_omp,0.28924670815467834,0.4569888412952423,73728,15492.4892578125,0.82,1.5799275442431715,4.758951177766393
h.0.attn.o_proj,attention,64,svd_omp,0.2573910057544708,0.4278736412525177,98304,19450.59375,0.81,1.66234884547859,5.054035946846096
h.0.mlp.c_fc,mlp,1,svd_omp,0.6211985945701599,0.9281523823738098,3840,2103.451171875,0.76,1.4941314910991508,1.8255712570580156
h.0.mlp.c_fc,mlp,2,svd_omp,0.574826717376709,0.8842347860336304,7680,3935.3994140625,0.76,1.5382632005501455,1.9515172901019369
h.0.mlp.c_fc,mlp,4,svd_omp,0.5294962525367737,0.8404168486595154,15360,6579.17138671875,0.76,1.5872007490764029,2.3346405036669124
h.0.mlp.c_fc,mlp,8,svd_omp,0.48472166061401367,0.7826401591300964,30720,13526.837890625,0.69,1.6146176717968392,2.271040744954222
h.0.mlp.c_fc,mlp,12,svd_omp,0.45923084020614624,0.7458027601242065,46080,18497.416015625,0.69,1.6240258598255721,2.4911587629902274
h.0.mlp.c_fc,mlp,16,svd_omp,0.4410880506038666,0.7166961431503296,61440,34590.484375,0.45,1.6248369053959746,1.7762110334715426
h.0.mlp.c_fc,mlp,24,svd_omp,0.4144902229309082,0.6656435132026672,92160,49198.56640625,0.45,1.6059329662731852,1.8732253139045194
h.0.mlp.c_fc,mlp,32,svd_omp,0.3940790891647339,0.6275854706764221,122880,63394.55859375,0.45,1.5925368483940983,1.9383367078466354
h.0.mlp.c_fc,mlp,48,svd_omp,0.3623543381690979,0.569889485836029,184320,111385.546875,0.3,1.5727408942185257,1.6547927910867026
h.0.mlp.c_fc,mlp,64,svd_omp,0.33726438879966736,0.5232203602790833,245760,146122.546875,0.3,1.5513655685417544,1.6818759681915105
h.0.mlp.down_proj,mlp,1,svd_omp,0.7443422675132751,0.843005895614624,3840,2086.8720703125,0.69,1.1325514248048385,1.8400744610209752
h.0.mlp.down_proj,mlp,2,svd_omp,0.7011256217956543,0.7933539748191833,7680,3583.705078125,0.69,1.1315432643686916,2.1430334898032926
h.0.mlp.down_proj,mlp,4,svd_omp,0.6613072752952576,0.7473724484443665,15360,9383.07421875,0.45,1.1301439986588426,1.6369901422399957
h.0.mlp.down_proj,mlp,8,svd_omp,0.6233143210411072,0.7137209177017212,30720,20075.30078125,0.3,1.14504174476468,1.5302385919264518
h.0.mlp.down_proj,mlp,12,svd_omp,0.5986350178718567,0.6956675052642822,46080,28879.6484375,0.3,1.1620895612444715,1.5955872904659558
h.0.mlp.down_proj,mlp,16,svd_omp,0.5790573954582214,0.6806581616401672,61440,37589.53125,0.3,1.1754588871135077,1.6344976368919206
h.0.mlp.down_proj,mlp,24,svd_omp,0.5474666357040405,0.6550031304359436,92160,54930.5,0.3,1.1964256590606868,1.6777564376803416
h.0.mlp.down_proj,mlp,32,svd_omp,0.5216363072395325,0.6327383518218994,122880,72225.171875,0.3,1.2129875605674616,1.7013458993585815
h.0.mlp.down_proj,mlp,48,svd_omp,0.47923019528388977,0.5942016243934631,184320,106734.515625,0.3,1.2399085663654097,1.7269015455842613
h.0.mlp.down_proj,mlp,64,svd_omp,0.4443309009075165,0.5606581568717957,245760,141178.125,0.3,1.2618032095600114,1.7407796002390596
h.1.attn.q_proj,attention,1,svd_omp,0.5845237970352173,0.875429093837738,1536,360.626953125,0.82,1.497679133472463,4.259249029197199
h.1.attn.q_proj,attention,2,svd_omp,0.523529589176178,0.7930474281311035,3072,715.13037109375,0.82,1.5148091808507647,4.295720226930869
h.1.attn.q_proj,attention,4,svd_omp,0.4715411365032196,0.7077455520629883,6144,1347.1083984375,0.82,1.5009200624814543,4.560880183900847
h.1.attn.q_proj,attention,8,svd_omp,0.4162728190422058,0.6535521745681763,12288,2235.9267578125,0.82,1.5700092455518042,5.495707744927146
