module,family,selected_units,svd_foba_relative_error,svd_relative_error,swd_relative_error,svd_error_over_foba,swd_error_over_foba,relative_error_reduction_vs_svd,fraction_inputs_improved,mean_accepted_swaps,swd_best_sparsity
h.1.attn.q_proj,attention,48,0.26177382469177246,0.2661708891391754,0.4888802468776703,1.0167971891482286,1.8675673454108943,0.016519704546291702,0.66015625,0.19189453125,0.45
h.1.attn.q_proj,attention,64,0.23320159316062927,0.2359136939048767,0.44557833671569824,1.0116298551287313,1.9107002258290056,0.011496156494166798,0.66357421875,0.130859375,0.45
h.1.attn.k_proj,attention,1,0.32228365540504456,0.37593451142311096,0.888596773147583,1.1664709181439508,2.757188452609546,0.14271330348195366,0.83056640625,0.58203125,0.82
h.1.attn.k_proj,attention,2,0.2956673800945282,0.3360426127910614,0.8012610077857971,1.1365562636081965,2.7100081433725456,0.12014914525628029,0.80712890625,0.7080078125,0.82
h.1.attn.k_proj,attention,4,0.2790835499763489,0.3010864555835724,0.6761165261268616,1.0788398513960717,2.4226312377929817,0.07307836403526358,0.66552734375,0.494140625,0.82
h.1.attn.k_proj,attention,8,0.25851768255233765,0.2692265510559082,0.5677326321601868,1.0414241238658888,2.1961075410973008,0.03977642049630803,0.537109375,0.25537109375,0.82
h.1.attn.k_proj,attention,12,0.24213062226772308,0.24975241720676422,0.5290594696998596,1.0314780297826756,2.185016767994261,0.03051740209077225,0.4970703125,0.1826171875,0.82
h.1.attn.k_proj,attention,16,0.22936707735061646,0.23535144329071045,0.5022255182266235,1.0260907799376373,2.189614673682695,0.025427360276274125,0.47900390625,0.1513671875,0.82
h.1.attn.k_proj,attention,24,0.20990689098834991,0.21384359896183014,0.462803453207016,1.0187545437643528,2.2048035251625073,0.01840928600431435,0.4638671875,0.1123046875,0.82
h.1.attn.k_proj,attention,32,0.19490621984004974,0.19745215773582458,0.43309614062309265,1.0130623737809095,2.2220744980766343,0.012893948209880324,0.4521484375,0.0771484375,0.82
h.1.attn.k_proj,attention,48,0.1711283028125763,0.1725318282842636,0.3882308006286621,1.0082015975652168,2.2686533685422074,0.00813487856498496,0.43701171875,0.0458984375,0.82
h.1.attn.k_proj,attention,64,0.15254521369934082,0.15352919697761536,0.35436639189720154,1.0064504369190759,2.3230253070780735,0.00640909545314694,0.43701171875,0.0361328125,0.82
h.1.attn.v_proj,attention,1,0.7908428907394409,0.9104868173599243,0.9824068546295166,1.151286593103993,1.242227585444895,0.13140654465202106,0.95751953125,0.84228515625,0.45
h.1.attn.v_proj,attention,2,0.7527498602867126,0.8688357472419739,0.9698053598403931,1.1542157535719044,1.2883501027433029,0.13361085489836655,0.9677734375,1.486328125,0.45
h.1.attn.v_proj,attention,4,0.7177823185920715,0.810991108417511,0.9493223428726196,1.1298566256246996,1.322576940505742,0.11493195037281978,0.97216796875,1.61279296875,0.3
h.1.attn.v_proj,attention,8,0.6687957048416138,0.7343281507492065,0.9161122441291809,1.0979857457713673,1.3697938510925955,0.08924136415134376,0.9677734375,1.681640625,0.3
h.1.attn.v_proj,attention,12,0.6316432356834412,0.6825135350227356,0.888155460357666,1.0805364428295547,1.406103018576107,0.07453375900831016,0.955078125,1.708984375,0.3
h.1.attn.v_proj,attention,16,0.6011216640472412,0.6427215337753296,0.8633500933647156,1.0692037439609214,1.4362318728490648,0.06472456194789655,0.96337890625,1.74267578125,0.3
h.1.attn.v_proj,attention,24,0.5513827204704285,0.582610547542572,0.81989985704422,1.056635483689987,1.4869886679522677,0.053599831317612256,0.955078125,1.7705078125,0.3
h.1.attn.v_proj,attention,32,0.5119420289993286,0.536734402179718,0.7819973230361938,1.0484280871192584,1.527511473446966,0.0461911386333832,0.93310546875,1.70751953125,0.3
h.1.attn.v_proj,attention,48,0.450677752494812,0.46743983030319214,0.7171552777290344,1.0371930447322737,1.5912817390232503,0.03585932717267126,0.88720703125,1.564453125,0.3
h.1.attn.v_proj,attention,64,0.40354225039482117,0.41536304354667664,0.6625269651412964,1.0292925787579619,1.6417784370610202,0.02845894293079332,0.82421875,1.35107421875,0.3
h.1.attn.o_proj,attention,1,0.7881890535354614,0.831855297088623,0.9427066445350647,1.0554007231606357,1.1960412800793248,0.052492595414115106,0.9365234375,0.63427734375,0.82
h.1.attn.o_proj,attention,2,0.7263785600662231,0.7733550667762756,0.9116765856742859,1.0646722099090724,1.2550984235977027,0.06074377569655509,0.95166015625,1.15869140625,0.82
h.1.attn.o_proj,attention,4,0.6725960373878479,0.7117695808410645,0.8755943179130554,1.0582423048541205,1.3018130783428181,0.05503683285667682,0.9755859375,1.43505859375,0.82
h.1.attn.o_proj,attention,8,0.6103315949440002,0.6396146416664124,0.8351651430130005,1.0479789133726543,1.3683793366286885,0.04578232706824825,0.98779296875,1.609375,0.82
h.1.attn.o_proj,attention,12,0.5670637488365173,0.5908072590827942,0.8074923157691956,1.0418709718175303,1.423988603443584,0.040188250704870754,0.9794921875,1.61865234375,0.82
h.1.attn.o_proj,attention,16,0.5336365103721619,0.5529868006706238,0.7849281430244446,1.0362611813891198,1.470904122502844,0.034992318577939385,0.96728515625,1.533203125,0.82
h.1.attn.o_proj,attention,24,0.48218581080436707,0.49530744552612305,0.7478467226028442,1.027212818021059,1.5509513259117063,0.026491898799982705,0.94287109375,1.31201171875,0.82
h.1.attn.o_proj,attention,32,0.44217729568481445,0.45138949155807495,0.7098637819290161,1.0208337152611902,1.6053827024963523,0.020408529763204064,0.908203125,1.09033203125,0.3
h.1.attn.o_proj,attention,48,0.3814876675605774,0.3860149383544922,0.6401714086532593,1.0118674106108447,1.678092014734932,0.01172822692617459,0.84716796875,0.68359375,0.3
h.1.attn.o_proj,attention,64,0.33549612760543823,0.3377061188220978,0.5836802124977112,1.0065872331595391,1.7397524575429704,0.006544125479182594,0.81787109375,0.41845703125,0.3
h.1.mlp.c_fc,mlp,1,0.3059943914413452,0.33075374364852905,0.9389981031417847,1.0809143987592658,3.06867749673045,0.07485736044606661,0.7158203125,0.42529296875,0.76
h.1.mlp.c_fc,mlp,2,0.2783986032009125,0.30006685853004456,0.8887349367141724,1.077831767401127,3.1923110478855286,0.07221142459810348,0.70751953125,0.49755859375,0.76
h.1.mlp.c_fc,mlp,4,0.26127302646636963,0.2683938145637512,0.8095288276672363,1.0272542029833232,3.09840184658877,0.026531118494499406,0.53173828125,0.21728515625,0.76
h.1.mlp.c_fc,mlp,8,0.23638544976711273,0.2395438402891159,0.7021768689155579,1.01336118836889,2.9704741540028943,0.013185020822038984,0.47265625,0.10400390625,0.76
h.1.mlp.c_fc,mlp,12,0.22070518136024475,0.22306625545024872,0.6331818699836731,1.0106978643430673,2.8689035122839535,0.010584631392311028,0.458984375,0.0810546875,0.76
h.1.mlp.c_fc,mlp,16,0.209152489900589,0.21112999320030212,0.5799034237861633,1.0094548398666114,2.772634569455968,0.009366283159195854,0.46435546875,0.0693359375,0.76
h.1.mlp.c_fc,mlp,24,0.19262517988681793,0.19406668841838837,0.4989037811756134,1.0074834896061742,2.590023700269911,0.007427902971491318,0.4619140625,0.056640625,0.76
h.1.mlp.c_fc,mlp,32,0.18057222664356232,0.18175733089447021,0.43902555108070374,1.0065630483321626,2.431301641682202,0.0065202555796551875,0.46630859375,0.0517578125,0.76
h.1.mlp.c_fc,mlp,48,0.1630907505750656,0.16390612721443176,0.3585658669471741,1.0049995271742334,2.19856653846312,0.004974656245153253,0.46826171875,0.041015625,0.76
h.1.mlp.c_fc,mlp,64,0.15004189312458038,0.15055018663406372,0.3094872534275055,1.003387677260652,2.0626722776054085,0.003376239650362045,0.4560546875,0.025390625,0.69
h.1.mlp.down_proj,mlp,1,0.18274514377117157,0.1929289847612381,0.9634526371955872,1.05572701293129,5.2721107511453,0.052785438137611496,0.88916015625,0.57763671875,0.69
h.1.mlp.down_proj,mlp,2,0.171719491481781,0.18106018006801605,0.9282036423683167,1.054395039873654,5.405348189415042,0.051588861685248344,0.81982421875,0.97705078125,0.69
h.1.mlp.down_proj,mlp,4,0.1644108146429062,0.17257873713970184,0.8710028529167175,1.0496799587942927,5.297722384068843,0.047328672304420394,0.89111328125,1.30908203125,0.69
h.1.mlp.down_proj,mlp,8,0.15639860928058624,0.16270768642425537,0.7768056988716125,1.04033972662986,4.966832521368445,0.03877553225861996,0.9130859375,1.5068359375,0.69
h.1.mlp.down_proj,mlp,12,0.15064503252506256,0.1558694839477539,0.7080391049385071,1.0346805422994758,4.700049467749372,0.03351811586444042,0.91845703125,1.56884765625,0.69
h.1.mlp.down_proj,mlp,16,0.14588212966918945,0.15039709210395813,0.6533066034317017,1.0309493866384256,4.478318248528292,0.030020277464193446,0.91748046875,1.6015625,0.69
h.1.mlp.down_proj,mlp,24,0.1380966603755951,0.1416437327861786,0.5700056552886963,1.0256854322250528,4.127584647871974,0.025042212181304646,0.892578125,1.5703125,0.69
h.1.mlp.down_proj,mlp,32,0.1316516399383545,0.13456213474273682,0.509670615196228,1.0221075468998726,3.871357891438951,0.02162937448894342,0.88232421875,1.517578125,0.69
h.1.mlp.down_proj,mlp,48,0.12101764976978302,0.12315937131643295,0.4319975674152374,1.0176975965962338,3.569707131455987,0.017389838253941803,0.86865234375,1.443359375,0.69
h.1.mlp.down_proj,mlp,64,0.11226745694875717,0.11392898857593536,0.37842684984207153,1.014799761857406,3.3707617516873025,0.01458392326612079,0.84228515625,1.373046875,0.69
h.2.attn.q_proj,attention,1,0.6524484753608704,0.6983378529548645,0.8931432962417603,1.0703341019666153,1.3689100825130462,0.06571228725440448,0.83056640625,0.51708984375,0.82
h.2.attn.q_proj,attention,2,0.5959410071372986,0.6454041600227356,0.8613929748535156,1.0830000827146322,1.445433297150266,0.07663903635776781,0.865234375,1.13134765625,0.82
h.2.attn.q_proj,attention,4,0.5533558130264282,0.5938449501991272,0.8209655284881592,1.073170166861092,1.4836123686821194,0.06818132773398544,0.8984375,1.3564453125,0.82
h.2.attn.q_proj,attention,8,0.5016763210296631,0.5314704179763794,0.774690568447113,1.0593890835540445,1.544203973703808,0.05605974658036461,0.88427734375,1.3828125,0.82
h.2.attn.q_proj,attention,12,0.46585315465927124,0.48843270540237427,0.742510199546814,1.0484692451199946,1.5938717858203448,0.04622858071001168,0.84130859375,1.22412109375,0.82
h.2.attn.q_proj,attention,16,0.4374385178089142,0.4549857974052429,0.7163159251213074,1.0401137048566764,1.6375236655182133,0.038566653500834214,0.787109375,1.04638671875,0.82
h.2.attn.q_proj,attention,24,0.3938153386116028,0.4043228328227997,0.6737300753593445,1.0266812721115461,1.7107766237206046,0.025987882350938074,0.6962890625,0.72412109375,0.82
h.2.attn.q_proj,attention,32,0.35973024368286133,0.36655285954475403,0.6389576196670532,1.0189659223312553,1.7762132344656545,0.018612911301159052,0.63623046875,0.509765625,0.82
h.2.attn.q_proj,attention,48,0.3081432580947876,0.31149935722351074,0.5830450057983398,1.010891359913157,1.8921231942676158,0.010774016224743055,0.5830078125,0.2841796875,0.82
h.2.attn.q_proj,attention,64,0.2698907256126404,0.271708607673645,0.526424765586853,1.006735622563088,1.9505107646507356,0.006690557493077787,0.5625,0.162109375,0.3
h.2.attn.k_proj,attention,1,0.59751957654953,0.6369157433509827,0.8866375684738159,1.0659328469687168,1.4838636310358948,0.06185459727244136,0.951171875,0.5458984375,0.82
h.2.attn.k_proj,attention,2,0.5434057116508484,0.5857511758804321,0.8355691432952881,1.077926056575555,1.5376524857584897,0.07229258083167311,0.95166015625,1.05908203125,0.82
h.2.attn.k_proj,attention,4,0.5060310959815979,0.535823404788971,0.7893705368041992,1.0588744625457889,1.5599249593011277,0.05560098446820638,0.9462890625,1.1064453125,0.82
h.2.attn.k_proj,attention,8,0.4637751579284668,0.48235034942626953,0.7477858662605286,1.0400521485039693,1.61238879115614,0.038509750267408216,0.93505859375,0.92529296875,0.82
h.2.attn.k_proj,attention,12,0.4348905384540558,0.44740912318229675,0.7198861837387085,1.028785599182594,1.6553273067235543,0.027980173133707598,0.916015625,0.72119140625,0.82
h.2.attn.k_proj,attention,16,0.41149500012397766,0.4206162393093109,0.6969956755638123,1.0221660996672746,1.6938132306682152,0.0216854185190547,0.90771484375,0.57275390625,0.82
h.2.attn.k_proj,attention,24,0.3742508590221405,0.3796078562736511,0.6591799855232239,1.0143139210568752,1.7613319238479748,0.014111924089497463,0.875,0.3642578125,0.82
h.2.attn.k_proj,attention,32,0.3446406424045563,0.3482455611228943,0.6194619536399841,1.0104599350012422,1.7974141102976153,0.010351657338328102,0.875,0.26708984375,0.45
h.2.attn.k_proj,attention,48,0.29920732975006104,0.3012894093990326,0.5520380139350891,1.0069586518843332,1.8450016394859943,0.006910563677377746,0.8583984375,0.1796875,0.45
h.2.attn.k_proj,attention,64,0.26501891016960144,0.26617100834846497,0.49709758162498474,1.0043472300830392,1.8757060819051075,0.0043284134737741065,0.84326171875,0.09228515625,0.3
h.2.attn.v_proj,attention,1,0.8580957055091858,0.9445334672927856,0.9871899485588074,1.1007320759545214,1.1504427096194572,0.09151370997085695,0.9365234375,0.88232421875,0.3
h.2.attn.v_proj,attention,2,0.8316835165023804,0.9097391963005066,0.9770846366882324,1.093852623322856,1.174827464174512,0.0858000623866082,0.94775390625,1.498046875,0.3
